graph_id,run,k,config_id,c_args,runtime_ms,cycles,paths
2,7,12,4,"7 5",0.469253, 18805,935044| 1042578
3,7,12,4,"7 5",0.511172, 22607,993920| 1104754
4,7,12,4,"7 5",0.364426, 10309,698632| 787164
5,7,12,4,"7 5",0.4256, 14005,808084| 905576
6,7,12,4,"7 5",0.450637, 15936,882820| 987374
7,7,12,4,"7 5",0.393395, 13111,761822| 854504
8,7,12,4,"7 5",0.546467, 22332,986764| 1096322
9,7,12,4,"7 5",0.472424, 18871,921220| 1026994
0,8,12,4,"7 5",0.394653, 13248,771770| 865636
1,8,12,4,"7 5",0.46443, 18245,908902| 1013854
2,8,12,4,"7 5",0.478997, 18805,935044| 1042578
3,8,12,4,"7 5",0.509992, 22607,993920| 1104754
4,8,12,4,"7 5",0.356045, 10309,698632| 787164
5,8,12,4,"7 5",0.414038, 14005,808084| 905576
6,8,12,4,"7 5",0.444956, 15936,882820| 987374
7,8,12,4,"7 5",0.386261, 13111,761822| 854504
8,8,12,4,"7 5",0.520433, 22332,986764| 1096322
9,8,12,4,"7 5",0.471255, 18871,921220| 1026994
0,9,12,4,"7 5",0.395755, 13248,771770| 865636
1,9,12,4,"7 5",0.465994, 18245,908902| 1013854
2,9,12,4,"7 5",0.471329, 18805,935044| 1042578
3,9,12,4,"7 5",0.513472, 22607,993920| 1104754
4,9,12,4,"7 5",0.355169, 10309,698632| 787164
5,9,12,4,"7 5",0.423305, 14005,808084| 905576
6,9,12,4,"7 5",0.445467, 15936,882820| 987374
7,9,12,4,"7 5",0.392669, 13111,761822| 854504
8,9,12,4,"7 5",0.517287, 22332,986764| 1096322
9,9,12,4,"7 5",0.473432, 18871,921220| 1026994
0,0,12,5,"8 4",0.877784, 13248,2202224| 2234830
1,0,12,5,"8 4",0.979991, 18245,2658402| 2693866
2,0,12,5,"8 4",1.00787, 18805,2744136| 2780340
3,0,12,5,"8 4",1.08474, 22607,2959906| 2996740
4,0,12,5,"8 4",0.737082, 10309,1952852| 1984198
5,0,12,5,"8 4",0.862505, 14005,2320256| 2353986
6,0,12,5,"8 4",0.940052, 15936,2556820| 2592566
7,0,12,5,"8 4",0.822942, 13111,2173738| 2205822
8,0,12,5,"8 4",1.0988, 22332,2936854| 2973082
9,0,12,5,"8 4",1.0003, 18871,2705020| 2740606
0,1,12,5,"8 4",0.822095, 13248,2202224| 2234830
1,1,12,5,"8 4",1.07703, 18245,2658402| 2693866
2,1,12,5,"8 4",1.00348, 18805,2744136| 2780340
3,1,12,5,"8 4",1.0876, 22607,2959906| 2996740
4,1,12,5,"8 4",0.757662, 10309,1952852| 1984198
5,1,12,5,"8 4",0.861433, 14005,2320256| 2353986
6,1,12,5,"8 4",0.941454, 15936,2556820| 2592566
7,1,12,5,"8 4",0.810275, 13111,2173738| 2205822
8,1,12,5,"8 4",1.09558, 22332,2936854| 2973082
9,1,12,5,"8 4",0.985296, 18871,2705020| 2740606
0,2,12,5,"8 4",0.814845, 13248,2202224| 2234830
1,2,12,5,"8 4",1.00819, 18245,2658402| 2693866
2,2,12,5,"8 4",1.00699, 18805,2744136| 2780340
3,2,12,5,"8 4",1.08866, 22607,2959906| 2996740
