graph_type,graph_id,run,k,mean_degree,runtime_ms,cycles,paths
0,1,5,4,2,0.0026567, 2,390
1,1,5,4,2,0.00306606, 77,2310
0,1,6,4,2,0.00252628, 2,390
1,1,6,4,2,0.00313663, 77,2310
0,1,7,4,2,0.00259662, 2,390
1,1,7,4,2,0.00311089, 77,2310
0,1,8,4,2,0.00263762, 2,390
1,1,8,4,2,0.00304627, 77,2310
0,1,9,4,2,0.0027492, 2,390
1,1,9,4,2,0.00305772, 77,2310
0,0,0,4,3,0.0025804, 4,632
1,0,0,4,3,0.00428271, 523,5646
0,0,1,4,3,0.00270891, 4,632
1,0,1,4,3,0.00418472, 523,5646
0,0,2,4,3,0.00272989, 4,632
1,0,2,4,3,0.00417662, 523,5646
0,0,3,4,3,0.00268698, 4,632
1,0,3,4,3,0.00418925, 523,5646
0,0,4,4,3,0.00262761, 4,632
1,0,4,4,3,0.00425029, 523,5646
0,0,5,4,3,0.0026319, 4,632
1,0,5,4,3,0.00422192, 523,5646
0,0,6,4,3,0.00268269, 4,632
1,0,6,4,3,0.004282, 523,5646
0,0,7,4,3,0.00271511, 4,632
1,0,7,4,3,0.00422001, 523,5646
0,0,8,4,3,0.00263381, 4,632
1,0,8,4,3,0.00423265, 523,5646
0,0,9,4,3,0.00268912, 4,632
1,0,9,4,3,0.00424767, 523,5646
0,1,0,4,3,0.0027616, 5,890
1,1,0,4,3,0.00405645, 449,5220
0,1,1,4,3,0.00281, 5,890
1,1,1,4,3,0.00404096, 449,5220
0,1,2,4,3,0.00276589, 5,890
1,1,2,4,3,0.00404382, 449,5220
0,1,3,4,3,0.00270963, 5,890
1,1,3,4,3,0.00407863, 449,5220
0,1,4,4,3,0.00276756, 5,890
1,1,4,4,3,0.00400543, 449,5220
0,1,5,4,3,0.00273395, 5,890
1,1,5,4,3,0.00404024, 449,5220
0,1,6,4,3,0.00279284, 5,890
1,1,6,4,3,0.00403476, 449,5220
0,1,7,4,3,0.00276303, 5,890
1,1,7,4,3,0.00400496, 449,5220
0,1,8,4,3,0.0027225, 5,890
1,1,8,4,3,0.00407982, 449,5220
0,1,9,4,3,0.00273538, 5,890
1,1,9,4,3,0.00399923, 449,5220
0,0,0,4,4,0.00273871, 19,1236
1,0,0,4,4,0.0051229, 1132,8178
0,0,1,4,4,0.00281286, 19,1236
1,0,1,4,4,0.00511599, 1132,8178
0,0,2,4,4,0.00275302, 19,1236
1,0,2,4,4,0.0051527, 1132,8178
0,0,3,4,4,0.00279999, 19,1236
1,0,3,4,4,0.00515413, 1132,8178
0,0,4,4,4,0.00280046, 19,1236
1,0,4,4,4,0.00509715, 1132,8178
0,0,5,4,4,0.00278783, 19,1236
1,0,5,4,4,0.00519705, 1132,8178
0,0,6,4,4,0.00283289, 19,1236
1,0,6,4,4,0.00507712, 1132,8178
0,0,7,4,4,0.00273442, 19,1236
1,0,7,4,4,0.00513744, 1132,8178
0,0,8,4,4,0.00278854, 19,1236
1,0,8,4,4,0.00517344, 1132,8178
0,0,9,4,4,0.00278997, 19,1236
1,0,9,4,4,0.00517464, 1132,8178
0,1,0,4,4,0.00289464, 30,1564
1,1,0,4,4,0.005162, 1235,8426
0,1,1,4,4,0.00283289, 30,1564
1,1,1,4,4,0.0052073, 1235,8426
0,1,2,4,4,0.00294185, 30,1564
1,1,2,4,4,0.00529814, 1235,8426
0,1,3,4,4,0.00292325, 30,1564
1,1,3,4,4,0.00514841, 1235,8426
0,1,4,4,4,0.00288868, 30,1564
1,1,4,4,4,0.00530529, 1235,8426
0,1,5,4,4,0.00286412, 30,1564
1,1,5,4,4,0.00519776, 1235,8426
0,1,6,4,4,0.00285959, 30,1564
1,1,6,4,4,0.0052197, 1235,8426
0,1,7,4,4,0.00295305, 30,1564
1,1,7,4,4,0.00530577, 1235,8426
0,1,8,4,4,0.00294518, 30,1564
1,1,8,4,4,0.00520754, 1235,8426
0,1,9,4,4,0.00289941, 30,1564
1,1,9,4,4,0.00526333, 1235,8426
0,0,0,4,5,0.00294256, 40,2024
1,0,0,4,5,0.00670481, 2390,11744
0,0,1,4,5,0.00297213, 40,2024
1,0,1,4,5,0.00672936, 2390,11744
0,0,2,4,5,0.00296617, 40,2024
1,0,2,4,5,0.00667977, 2390,11744
0,0,3,4,5,0.00296021, 40,2024
1,0,3,4,5,0.00669146, 2390,11744
0,0,4,4,5,0.00306606, 40,2024
1,0,4,4,5,0.00660992, 2390,11744
0,0,5,4,5,0.00305676, 40,2024
1,0,5,4,5,0.00665569, 2390,11744
0,0,6,4,5,0.00297165, 40,2024
1,0,6,4,5,0.00673461, 2390,11744
0,0,7,4,5,0.00297236, 40,2024
1,0,7,4,5,0.00669408, 2390,11744
0,0,8,4,5,0.00304341, 40,2024
1,0,8,4,5,0.00661135, 2390,11744
0,0,9,4,5,0.00307465, 40,2024
1,0,9,4,5,0.00673532, 2390,11744
0,1,0,4,5,0.00315332, 68,2392
1,1,0,4,5,0.00721002, 2985,12294
0,1,1,4,5,0.0031538, 68,2392
1,1,1,4,5,0.00725174, 2985,12294
0,1,2,4,5,0.00308251, 68,2392
1,1,2,4,5,0.00717139, 2985,12294
0,1,3,4,5,0.00308847, 68,2392
1,1,3,4,5,0.00731277, 2985,12294
0,1,4,4,5,0.00310898, 68,2392
1,1,4,4,5,0.00721049, 2985,12294
0,1,5,4,5,0.00309229, 68,2392
1,1,5,4,5,0.00719762, 2985,12294
0,1,6,4,5,0.00310469, 68,2392
1,1,6,4,5,0.00721002, 2985,12294
0,1,7,4,5,0.00309849, 68,2392
1,1,7,4,5,0.00735545, 2985,12294
0,1,8,4,5,0.00313568, 68,2392
1,1,8,4,5,0.00720024, 2985,12294
0,1,9,4,5,0.0030849, 68,2392
1,1,9,4,5,0.00720429, 2985,12294
0,0,0,4,6,0.00320125, 80,2850
1,0,0,4,6,0.00941467, 5085,16454
0,0,1,4,6,0.00327611, 80,2850
1,0,1,4,6,0.00931692, 5085,16454
0,0,2,4,6,0.00324488, 80,2850
1,0,2,4,6,0.00935483, 5085,16454
0,0,3,4,6,0.00327849, 80,2850
1,0,3,4,6,0.0093255, 5085,16454
0,0,4,4,6,0.00325394, 80,2850
1,0,4,4,6,0.00929046, 5085,16454
0,0,5,4,6,0.00320888, 80,2850
1,0,5,4,6,0.00935292, 5085,16454
0,0,6,4,6,0.00327468, 80,2850
1,0,6,4,6,0.00929785, 5085,16454
0,0,7,4,6,0.0032258, 80,2850
1,0,7,4,6,0.00941277, 5085,16454
0,0,8,4,6,0.00335526, 80,2850
1,0,8,4,6,0.00931835, 5085,16454
0,0,9,4,6,0.00325799, 80,2850
1,0,9,4,6,0.00936508, 5085,16454
0,1,0,4,6,0.00337505, 114,3306
1,1,0,4,6,0.00913858, 4782,16104
0,1,1,4,6,0.00335574, 114,3306
1,1,1,4,6,0.00918174, 4782,16104
0,1,2,4,6,0.00333261, 114,3306
1,1,2,4,6,0.00916505, 4782,16104
0,1,3,4,6,0.00336361, 114,3306
1,1,3,4,6,0.0092082, 4782,16104
0,1,4,4,6,0.00332117, 114,3306
1,1,4,4,6,0.00916648, 4782,16104
0,1,5,4,6,0.00337911, 114,3306
1,1,5,4,6,0.00927114, 4782,16104
0,1,6,4,6,0.00332212, 114,3306
1,1,6,4,6,0.00913286, 4782,16104
0,1,7,4,6,0.00330043, 114,3306
1,1,7,4,6,0.00915551, 4782,16104
0,1,8,4,6,0.0033145, 114,3306
1,1,8,4,6,0.00905108, 4782,16104
0,1,9,4,6,0.0032661, 114,3306
1,1,9,4,6,0.00915456, 4782,16104
0,0,0,4,7,0.00346398, 139,3756
1,0,0,4,7,0.0128429, 8206,21076
0,0,1,4,7,0.00351048, 139,3756
1,0,1,4,7,0.0127475, 8206,21076
0,0,2,4,7,0.00348568, 139,3756
1,0,2,4,7,0.0127642, 8206,21076
0,0,3,4,7,0.00349236, 139,3756
1,0,3,4,7,0.0126941, 8206,21076
0,0,4,4,7,0.00345588, 139,3756
1,0,4,4,7,0.0128987, 8206,21076
0,0,5,4,7,0.00349021, 139,3756
1,0,5,4,7,0.012691, 8206,21076
